Group_ID,Person_ID,Pose_ID,Image_Filename,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg
M2,0669,P10,H_P10_0669_cam101_100f.jpg,7.00,0.00,2.03,-0.17,2.44,-0.00
M2,0670,P10,H_P10_0670_cam101_100f.jpg,3.00,1.00,-0.25,-0.86,-1.08,0.51
M2,0671,P10,H_P10_0671_cam101_100f.jpg,6.00,4.00,2.41,1.90,1.89,1.99
M2,0672,P10,H_P10_0672_cam101_100f.jpg,2.00,0.00,1.35,0.94,0.62,-0.00
M2,0673,P10,H_P10_0673_cam101_100f.jpg,4.00,3.00,1.45,-0.50,-1.27,1.46
M2,0674,P10,H_P10_0674_cam101_50f.jpg,3.00,1.00,-0.71,0.00,0.95,-0.53
M2,0675,P10,H_P10_0675_cam101_50f.jpg,2.00,0.00,-1.05,-1.51,0.65,-0.00
M2,0676,P10,H_P10_0676_cam101_100f.jpg,3.00,2.00,0.00,-0.33,0.94,-1.02
M2,0677,P10,H_P10_0677_cam101_100f.jpg,3.00,1.00,-0.26,-0.18,-0.91,0.47
M2,0678,P10,H_P10_0678_cam101_100f.jpg,8.00,1.00,1.43,-0.65,2.36,-0.53
M2,0679,P10,H_P10_0679_cam101_100f.jpg,4.00,1.00,-0.45,-0.46,1.33,0.53
M2,0680,P10,H_P10_0680_cam101_100f.jpg,5.00,2.00,-0.22,-0.31,1.57,-0.94
M2,0681,P10,H_P10_0681_cam101_100f.jpg,4.00,1.00,-0.75,-0.50,1.22,0.53
M2,0682,P10,H_P10_0682_cam101_50f.jpg,5.00,2.00,0.74,-0.83,1.64,1.01
M2,0683,P10,H_P10_0683_cam101_50f.jpg,7.00,2.00,2.58,1.22,1.97,1.01
M2,0684,P10,H_P10_0684_cam101_100f.jpg,1.00,3.00,2.74,1.02,0.36,1.64
M2,0685,P10,H_P10_0685_cam101_100f.jpg,1.00,0.00,2.40,1.09,-0.39,-0.00
M2,0686,P10,H_P10_0686_cam101_100f.jpg,5.00,0.00,0.95,-0.97,1.62,-0.00
M2,0687,P10,H_P10_0687_cam101_100f.jpg,5.00,1.00,0.00,-0.16,1.63,0.46
M2,0688,P10,H_P10_0688_cam101_100f.jpg,1.00,1.00,-0.24,-0.97,0.33,0.47
