Group_ID,Person_ID,Pose_ID,Image_Filename,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg
M3,1042,P10,C_P10_1042_cam101_100f.jpg,3.00,2.00,-0.23,-1.10,0.93,-0.90
M3,1089,P10,E_P10_1089_cam101_100f.jpg,11.00,1.00,1.47,0.51,3.48,0.49
M3,1090,P10,E_P10_1090_cam101_100f.jpg,1.00,2.00,0.47,-0.16,-0.32,-1.09
M3,1091,P10,E_P10_1091_cam101_100f.jpg,3.00,2.00,-1.68,-2.36,1.01,-1.03
M3,1092,P10,E_P10_1092_cam101_50f.jpg,0.00,3.00,-0.50,-0.35,-0.00,-1.51
M3,1163,P10,H_P10_1163_cam101_100f.jpg,4.00,0.00,0.81,-0.73,1.41,-0.00
M4,1535,P10,C_P10_1535_cam101_100f.jpg,2.00,0.00,1.62,0.73,0.71,-0.00
M4,1536,P10,C_P10_1536_cam101_100f.jpg,2.00,1.00,0.75,0.53,0.71,0.56
M4,1537,P10,C_P10_1537_cam101_100f.jpg,5.00,0.00,1.53,1.64,1.59,-0.00
M4,1538,P10,C_P10_1538_cam101_100f.jpg,1.00,3.00,-1.17,-2.18,-0.31,-1.52
M4,1585,P10,E_P10_1585_cam101_100f.jpg,6.00,3.00,1.98,1.01,2.15,1.62
M4,1586,P10,E_P10_1586_cam101_100f.jpg,3.00,2.00,0.76,0.87,1.10,-1.04
M4,1587,P10,E_P10_1587_cam101_100f.jpg,1.00,1.00,1.93,0.33,0.33,0.50
M4,1588,P10,E_P10_1588_cam101_100f.jpg,3.00,1.00,0.25,-1.68,1.01,-0.55
M4,1659,P10,H_P10_1659_cam101_100f.jpg,6.00,1.00,0.51,1.39,2.06,-0.52
